CNPJ;Velocidade;Município;UF;Faixa de Velocidade;Tecnologia;Empresa;Porte da Prestadora;Tipo de Pessoa;Tipo de Produto;Código IBGE Município;Grupo Econômico;Meio de Acesso;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06
00497373000110;200;Tramandaí;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;4321600;SKY/AT&T;Fibra;1;1;1;1;1;1
00497373000110;200;Veranópolis;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4322806;SKY/AT&T;Fibra;;;1;1;1;1
00497373000110;200;Xangri-lá;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4323804;SKY/AT&T;Fibra;;1;1;1;1;1
00497373000110;200;Lucas do Rio Verde;MT;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;5105259;SKY/AT&T;Fibra;5;6;8;9;7;6
00497373000110;200;Lucas do Rio Verde;MT;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;5105259;SKY/AT&T;Fibra;1;1;1;1;1;1
00497373000110;200;Nova Mutum;MT;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;5106224;SKY/AT&T;Fibra;34;35;29;25;20;16
00497373000110;200;Nova Mutum;MT;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;5106224;SKY/AT&T;Fibra;1;1;1;1;1;1
00497373000110;200;Sinop;MT;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;5107909;SKY/AT&T;Fibra;5;6;7;7;7;6
00497373000110;200;Sorriso;MT;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;5107925;SKY/AT&T;Fibra;33;38;37;38;33;32
00497373000110;200;Jataí;GO;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;5211909;SKY/AT&T;Fibra;8;8;7;7;5;5
00497373000110;200;Mineiros;GO;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;5213103;SKY/AT&T;Fibra;18;22;22;23;19;22
00497373000110;12;Guajará-Mirim;RO;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1100106;SKY/AT&T;Rádio;1;;;;;
00497373000110;12;Ji-Paraná;RO;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1100122;SKY/AT&T;Rádio;;;1;;1;
00497373000110;12;Ouro Preto do Oeste;RO;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1100155;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Porto Velho;RO;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1100205;SKY/AT&T;Rádio;925;852;2884;2590;2318;
00497373000110;12;Porto Velho;RO;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;1100205;SKY/AT&T;Rádio;1;1;2;2;1;
00497373000110;12;Rolim de Moura;RO;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1100288;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Alto Paraíso;RO;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1100403;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Buritis;RO;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1100452;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Cujubim;RO;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1100940;SKY/AT&T;Rádio;;1;;;;
00497373000110;12;Boca do Acre;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1300706;SKY/AT&T;Rádio;35;12;9;;;
00497373000110;12;Codajás;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1301308;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Iranduba;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1301852;SKY/AT&T;Rádio;43;43;433;416;395;385
00497373000110;12;Iranduba;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;1301852;SKY/AT&T;Rádio;;;4;4;3;3
00497373000110;12;Itacoatiara;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1301902;SKY/AT&T;Rádio;1;1;2;;;
00497373000110;12;Manacapuru;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1302504;SKY/AT&T;Rádio;7;7;5;;;
00497373000110;12;Manaus;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1302603;SKY/AT&T;Rádio;2966;2814;11595;10929;10266;9773
00497373000110;12;Manaus;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;1302603;SKY/AT&T;Rádio;5;5;21;22;22;22
00497373000110;12;Maués;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1302900;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Nhamundá;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1303007;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Novo Aripuanã;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1303304;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Parintins;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1303403;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Presidente Figueiredo;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1303536;SKY/AT&T;Rádio;;;;;1;
00497373000110;12;São Sebastião do Uatumã;AM;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1303957;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Boa Vista;RR;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1400100;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Ananindeua;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1500800;SKY/AT&T;Rádio;757;725;3838;3636;3453;3295
00497373000110;12;Ananindeua;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;1500800;SKY/AT&T;Rádio;1;1;4;4;4;4
00497373000110;12;Augusto Corrêa;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1500909;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Bagre;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1501105;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Barcarena;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1501303;SKY/AT&T;Rádio;250;239;1073;1028;986;958
00497373000110;12;Barcarena;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;1501303;SKY/AT&T;Rádio;;;1;1;1;1
00497373000110;12;Belém;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1501402;SKY/AT&T;Rádio;2257;2096;7236;6784;6368;6117
00497373000110;12;Belém;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;1501402;SKY/AT&T;Rádio;2;2;5;5;5;5
00497373000110;12;Benevides;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1501501;SKY/AT&T;Rádio;99;82;360;327;303;288
00497373000110;12;Cachoeira do Arari;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1502004;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Castanhal;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1502400;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Curralinho;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1502806;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Goianésia do Pará;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1503093;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Marituba;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1504422;SKY/AT&T;Rádio;2;2;9;;;
00497373000110;12;Moju;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1504703;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Monte Alegre;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1504802;SKY/AT&T;Rádio;1;;;;;
00497373000110;12;Óbidos;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1505106;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Santa Bárbara do Pará;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1506351;SKY/AT&T;Rádio;34;29;214;208;203;199
00497373000110;12;Santa Bárbara do Pará;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;1506351;SKY/AT&T;Rádio;;;1;1;1;1
00497373000110;12;Santarém;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1506807;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Tomé-Açu;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1508001;SKY/AT&T;Rádio;;;1;;1;1
00497373000110;12;Tucuruí;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1508100;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Uruará;PA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1508159;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Laranjal do Jari;AP;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1600279;SKY/AT&T;Rádio;1;1;1;;;
