CNPJ;Velocidade;Município;UF;Faixa de Velocidade;Tecnologia;Empresa;Porte da Prestadora;Tipo de Pessoa;Tipo de Produto;Código IBGE Município;Grupo Econômico;Meio de Acesso;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06
7,65358E+13;100;Ipatinga;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3131307;OI;Fibra;41;47;51;51;50;50
7,65358E+13;100;Itabira;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3131703;OI;Fibra;117;117;122;118;120;123
7,65358E+13;100;João Monlevade;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3136207;OI;Fibra;133;137;142;142;146;148
7,65358E+13;100;Juiz de Fora;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3136702;OI;Fibra;3265;3296;3357;3388;3425;3442
7,65358E+13;100;Lavras;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3138203;OI;Fibra;74;93;95;96;99;103
7,65358E+13;100;Leopoldina;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3138401;OI;Fibra;355;339;339;329;319;319
7,65358E+13;100;Mesquita;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3302858;OI;Fibra;1302;1295;1294;1291;1302;1302
7,65358E+13;100;Montes Claros;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3143302;OI;Fibra;1795;1733;1656;1599;1565;1557
7,65358E+13;100;Muriaé;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3143906;OI;Fibra;106;131;147;159;166;168
7,65358E+13;100;Nova Lima;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3144805;OI;Fibra;407;443;456;466;468;472
7,65358E+13;100;Paracatu;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3147006;OI;Fibra;111;114;116;124;126;130
7,65358E+13;100;Patrocínio;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3148103;OI;Fibra;448;436;424;411;404;398
7,65358E+13;100;Poços de Caldas;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3151800;OI;Fibra;1040;1008;992;975;958;939
7,65358E+13;100;Pouso Alegre;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3152501;OI;Fibra;710;684;671;649;642;633
7,65358E+13;100;Ribeirão das Neves;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3154606;OI;Fibra;169;164;166;175;176;178
7,65358E+13;100;Sabará;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3156700;OI;Fibra;52;58;57;59;59;58
7,65358E+13;100;Santa Rita do Sapucaí;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3159605;OI;Fibra;83;86;92;94;94;94
7,65358E+13;100;São Lourenço;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3163706;OI;Fibra;153;154;149;148;146;145
7,65358E+13;100;Sete Lagoas;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3167202;OI;Fibra;1538;1533;1519;1501;1486;1491
7,65358E+13;100;Timóteo;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3168705;OI;Fibra;6;11;16;20;29;28
7,65358E+13;100;Toledo;PR;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;4127700;OI;Fibra;2;8;8;18;42;64
7,65358E+13;100;Ubá;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3169901;OI;Fibra;843;836;822;814;815;828
7,65358E+13;100;Varginha;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3170701;OI;Fibra;819;798;794;781;763;759
7,65358E+13;100;Vespasiano;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3171204;OI;Fibra;555;564;563;568;559;559
7,65358E+13;100;Wenceslau Braz;PR;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;4128500;OI;Fibra;56;57;59;51;32;24
7,65358E+13;100;Cachoeiro de Itapemirim;ES;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3201209;OI;Fibra;694;692;691;690;690;698
